Portfolio,Type of Trade,Product,Direction,Price,Size/Notional,Tenor,Amount to Risk,Time Frame,Strategy,Timestamp,User
A2,Outright,TWD,long,30.98,6,,50000,,Strategy,28/8/19,A
A2,Outright,TWD,long,31.01,5,,50000,,Strategy,29/8/19,A
A2,Outright,TWD,long,30.43,10,,50000,,Strategy,30/8/19,A
A2,Outright,NTN,long,30.45,12,,50000,,Strategy,30/8/19,A
A2,Outright,TWD,short,30.23,7,,50000,,Strategy,2/9/19,A
A2,Outright,NTN,short,31.2,2,,50000,,Strategy,2/9/19,A
A2,Outright,NTN,short,31.45,3,,50000,,Strategy,3/9/19,A
A1,Outright,IRN,long,70,15,,50000,,Strategy,4/9/19,A
A1,Outright,IRN,long,69.32,10,,50000,,Strategy,5/9/19,A
A1,Outright,KWN,long,1178.56,10,,50000,,Strategy,9/9/19,A
A1,Outright,IRN,short,69.89,10,,50000,,Strategy,9/9/19,A
A1,Outright,KWN,long,1181.72,15,,50000,,Strategy,10/9/19,A
A1,Outright,KWN,short,1180.45,5,,50000,,Strategy,13/9/19,A
