Portfolio,Type of Trade,Product,Direction,Price,Size/Notional,Tenor,Amount to Risk,Time Frame,Strategy,Timestamp,User
A1,Outright,KWN,long,1178.56,10,,50000,,Strategy,,A
A1,Outright,KWN,long,1181.72,15,,50000,,Strategy,,A
A1,Outright,KWN,short,1180.45,5,,50000,,Strategy,,A
A1,Outright,IRN,long,69.32,10,,50000,,Strategy,,A
A1,Outright,IRN,long,70,15,,50000,,Strategy,,A
A1,Outright,IRN,short,69.89,10,,50000,,Strategy,,A
A2,Outright,TWD,long,30.43,10,,50000,,Strategy,,A
A2,Outright,TWD,long,31.01,5,,50000,,Strategy,,A
A2,Outright,TWD,long,30.98,6,,50000,,Strategy,,A
A2,Outright,TWD,short,30.23,7,,50000,,Strategy,,A
A2,Outright,NTN,long,30.45,12,,50000,,Strategy,,A
A2,Outright,NTN,short,31.2,2,,50000,,Strategy,,A
A2,Outright,NTN,short,31.45,3,,50000,,Strategy,,A
B1,Outright,KRW,long,1184.23,10,,50000,,Strategy,,B
B1,Outright,KRW,long,1187.56,10,,50000,,Strategy,,B
B1,Outright,KRW,short,1190.1,5,,50000,,Strategy,,B
B1,Outright,IRN,long,69.2,5,,50000,,Strategy,,B
B1,Outright,IRN,short,70.3,3,,50000,,Strategy,,B
